IP地址,端口,国家缩写,TLS,数据中心,地区,城市,网络延迟,速度(MB/s)
104.19.36.47,443,HK,TRUE,HKG,亚太,香港,59 ms,24.62
104.17.215.54,2096,HK,TRUE,HKG,亚太,香港,46 ms,23.38
45.14.64.188,46573,JP,TRUE,NRT,亚太,东京,52 ms,23.35
104.17.222.28,443,HK,TRUE,HKG,亚太,香港,37 ms,23.3
103.234.53.242,45398,HK,TRUE,HKG,亚太,香港,30 ms,22.88
104.17.168.64,443,HK,TRUE,HKG,亚太,香港,56 ms,22.86
104.17.213.166,443,HK,TRUE,HKG,亚太,香港,39 ms,22.84
45.66.129.123,32680,JP,TRUE,NRT,亚太,东京,63 ms,22.37
104.17.172.220,443,HK,TRUE,HKG,亚太,香港,45 ms,22.33
132.145.91.171,8443,JP,TRUE,NRT,亚太,东京,35 ms,20.83
45.78.28.120,990,HK,TRUE,HKG,亚太,香港,41 ms,20.51
131.186.29.9,11844,KR,TRUE,ICN,亚太,首尔,69 ms,20.41
35.201.203.106,443,TW,TRUE,TPE,亚太,台北,53 ms,20.26
147.78.242.111,31425,JP,TRUE,NRT,亚太,东京,35 ms,20.24
176.97.73.99,8420,JP,TRUE,NRT,亚太,东京,61 ms,20.19
16.162.37.167,443,HK,TRUE,HKG,亚太,香港,43 ms,20.05
18.167.194.154,443,HK,TRUE,HKG,亚太,香港,45 ms,20.01
13.250.122.213,443,SG,TRUE,SIN,亚太,新加坡,88 ms,19.93
62.106.70.197,24543,JP,TRUE,NRT,亚太,东京,82 ms,19.86
34.80.86.119,4443,JP,TRUE,NRT,亚太,东京,190 ms,19.6
47.243.179.249,2096,HK,TRUE,HKG,亚太,香港,43 ms,19.09
185.184.223.19,59775,JP,TRUE,NRT,亚太,东京,63 ms,18.66
45.66.130.112,56061,JP,TRUE,NRT,亚太,东京,82 ms,18.2
104.17.161.59,443,HK,TRUE,HKG,亚太,香港,36 ms,18.19
132.226.172.226,46730,KR,TRUE,ICN,亚太,首尔,57 ms,18.17
146.56.44.88,443,KR,TRUE,ICN,亚太,首尔,81 ms,18.16
104.17.217.110,443,HK,TRUE,HKG,亚太,香港,71 ms,18.12
109.107.137.22,44004,JP,TRUE,NRT,亚太,东京,157 ms,17.96
59.125.68.209,23555,TW,TRUE,KHH,亚太,高雄市,70 ms,17.85
158.178.240.232,23559,SG,TRUE,SIN,亚太,新加坡,76 ms,17.84
193.123.239.18,49248,JP,TRUE,NRT,亚太,东京,75 ms,17.8
152.70.232.173,28756,KR,TRUE,ICN,亚太,首尔,82 ms,17.74
43.129.171.137,443,HK,TRUE,HKG,亚太,香港,44 ms,17.62
104.16.42.222,443,HK,TRUE,HKG,亚太,香港,55 ms,17.56
146.56.171.182,11659,JP,TRUE,NRT,亚太,东京,50 ms,17.54
59.3.3.161,443,KR,TRUE,ICN,亚太,首尔,25 ms,17.47
45.78.31.169,443,HK,TRUE,HKG,亚太,香港,40 ms,17.42
220.130.213.86,23555,TW,TRUE,KHH,亚太,高雄市,103 ms,17.39
103.201.130.51,5204,JP,TRUE,NRT,亚太,东京,102 ms,17.29
60.249.89.77,23555,TW,TRUE,KHH,亚太,高雄市,61 ms,17.25
146.56.42.31,48652,KR,TRUE,ICN,亚太,首尔,76 ms,17.11
103.48.169.9,38835,HK,TRUE,HKG,亚太,香港,36 ms,17.07
220.130.73.115,23555,TW,TRUE,KHH,亚太,高雄市,47 ms,17.06
129.150.58.86,57621,SG,TRUE,SIN,亚太,新加坡,110 ms,17.03
132.226.235.126,59408,KR,TRUE,ICN,亚太,首尔,58 ms,16.95
64.110.88.46,443,KR,TRUE,ICN,亚太,首尔,76 ms,16.94
146.56.161.141,45593,KR,TRUE,ICN,亚太,首尔,103 ms,16.92
141.98.196.65,54788,JP,TRUE,NRT,亚太,东京,87 ms,16.9
211.72.156.10,23555,TW,TRUE,KHH,亚太,高雄市,59 ms,16.89
104.20.27.224,2096,US,TRUE,LAX,北美洲,洛杉矶,263 ms,16.86
45.66.128.148,15280,JP,TRUE,NRT,亚太,东京,81 ms,16.67
193.32.151.217,33211,JP,TRUE,NRT,亚太,东京,63 ms,16.65
147.78.247.234,21817,JP,TRUE,NRT,亚太,东京,87 ms,16.53
38.59.249.142,20656,US,TRUE,SJC,北美洲,圣何塞,158 ms,16.52
146.56.145.38,50001,KR,TRUE,ICN,亚太,首尔,52 ms,16.48
103.234.53.204,41473,HK,TRUE,HKG,亚太,香港,33 ms,16.41
